State,"Violent crime","Property crime"
ALABAMA,21693,168878
ALASKA,4412,20037
ARIZONA,28108,231930
ARKANSAS,13835,107941
CALIFORNIA,160944,1049465
COLORADO,16023,139270
CONNECTICUT,10160,76834
DELAWARE,5020,30639
DISTRICT OF COLUMBIA1,7864,30736
FLORIDA,94087,632988
GEORGIA,37591,338329
HAWAII,3330,42817
IDAHO,3318,31651
ILLINOIS,53403,332013
INDIANA,22602,198032
IOWA,8112,69839
KANSAS,10232,90710
KENTUCKY,9752,111826
LOUISIANA,22868,162936
MAINE,1631,33361
MARYLAND,28055,162031
MASSACHUSETTS,26953,143089
MICHIGAN,44922,250101
MINNESOTA2,12419,138152
MISSISSIPPI,7786,83906
MISSOURI,27155,199590
MONTANA,2736,25970
NEBRASKA,4814,51118
NEVADA,16763,77510
NEW HAMPSHIRE,2481,30693
NEW JERSEY,25727,181481
NEW MEXICO,11660,75094
NEW YORK3,79610,376140
NORTH CAROLINA,34464,328594
NORTH DAKOTA,1712,14063
OHIO,34595,359883
OKLAHOMA,17902,129743
OREGON,9653,125723
PENNSYLVANIA,44503,276496
PUERTO RICO,10041,51679
RHODE ISLAND,2651,27017
SOUTH CAROLINA,26397,180550
SOUTH DAKOTA,2682,17168
TENNESSEE,41550,217664
TEXAS,106476,876059
UTAH,5876,85424
VERMONT,893,15016
VIRGINIA,15564,176985
WASHINGTON,20386,252333
WEST VIRGINIA,5869,43878
WISCONSIN,16064,140513
WYOMING,1161,13222